页面URL,图片位置,当前图片,是否匹配,是否替换,新图片,图片来源,是否AI,新ALT,桌面验收,移动端验收,备注
/en/components/,Components Hub,assembly-welding-9821.jpg,匹配(真实工厂),否,补充,添加更多构件展示图,已有图片,否,,待验收,待验收,只有1张图，应展示多种构件
/en/components/fabricated-steel-beams-columns/,构件本体,steel-beams-columns-fabrication.jpg,匹配,否,保留,,否,Steel beams and columns fabrication,待验收,待验收,
/en/components/fabricated-steel-beams-columns/,成品,finished-steel-beams-columns.jpg,匹配,否,保留,,否,Finished steel beams and columns,待验收,待验收,
/en/components/fabricated-steel-beams-columns/,成品堆叠,finished-steel-members-stacked.jpg,匹配,否,保留,,否,Steel members stacked in factory,待验收,待验收,
/en/components/fabricated-steel-beams-columns/,应用,01-industrial.jpg,部分匹配,否,保留,,否,Industrial steel building application,待验收,待验收,产品分类图，可接受
/en/components/fabricated-steel-beams-columns/,应用,04-warehouse-logistics.jpg,部分匹配,否,保留,,否,Warehouse logistics steel building application,待验收,待验收,产品分类图，可接受
/en/components/fabricated-steel-beams-columns/,应用,03-commercial-public.jpg,部分匹配,否,保留,,否,Commercial public steel building application,待验收,待验收,产品分类图，可接受
/en/components/steel-trusses/,Hero,steel-truss-hero.jpg,匹配(构件本体清晰),否,保留,,否,Large steel truss structure in factory,待验收,待验收,
/en/components/steel-trusses/,制造,steel-truss-fabrication.jpg,匹配(焊接过程),否,保留,,否,Steel truss welding fabrication,待验收,待验收,
/en/components/steel-trusses/,复杂节点,complex-steel-truss-fabrication.jpg,匹配但未使用,是,添加,已有图片,否,Complex steel truss fabrication with pipe nodes,待验收,待验收,这张好图未在Trusses页面使用
/en/components/steel-trusses/,应用场景,缺失,是,添加,AI生成或已有,是,,待验收,待验收,缺少桁架安装/应用场景图
/en/components/steel-purlins/,Hero,steel-purlins-hero.jpg,匹配,否,保留,,否,Steel purlins in factory,待验收,待验收,
/en/components/steel-purlins/,制造,steel-purlins-fabrication.jpg,匹配,否,保留,,否,Steel purlins fabrication,待验收,待验收,
/en/components/steel-purlins/,安装/应用,缺失,是,添加,AI生成,是,,待验收,待验收,缺少檩条安装/应用场景图
/en/components/roof-wall-cladding-systems/,安装,roof-wall-cladding-installation.jpg,匹配,否,保留,,否,Roof and wall cladding installation,待验收,待验收,
/en/components/roof-wall-cladding-systems/,构件,finished-steel-members-stacked.jpg,部分匹配,否,保留,,否,Steel members stacked,待验收,待验收,
/en/components/roof-wall-cladding-systems/,涂层,finished-coated-components.jpg,匹配,否,保留,,否,Finished coated steel components,待验收,待验收,
/en/components/roof-wall-cladding-systems/,细节,brochure-envelope-system-detail.jpg,匹配但未使用,是,添加,已有图片,否,Envelope system detail,待验收,待验收,这张细节图未使用
/en/components/roof-wall-cladding-systems/,概览,brochure-envelope-system-overview.jpg,匹配但未使用,是,添加,已有图片,否,Envelope system overview,待验收,待验收,这张概览图未使用
