url,language,page_type,title,h1,topic,primary_keyword,secondary_keywords,search_intent,user_stage,business_value,keyword_conflict,recommended_action
https://zhongsai-steelstructure.com/en/steel-mining-factory/,EN,product_detail,Steel Structures for Mining & Heavy Industrial Projects | ZhongSai,Steel Structures for Mining & Heavy Industrial Applications,Steel Structures for Mining & Heavy Industrial Applications,steel structure warehouse manufacturer China,"prefab steel warehouse, logistics building, steel warehouse supplier",Transactional,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/en/services/structural-steel-detailing/,EN,product_detail,Structural Steel Detailing Services | Shop & Fabrication Drawings | ZhongSai,Structural Steel Detailing Services for Fabrication,Structural Steel Detailing Services for Fabrication,steel structure warehouse manufacturer China,"prefab steel warehouse, logistics building, steel warehouse supplier",Transactional,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/en/engineering-design/,EN,other,Steel Building Design Services | Engineering for Fabrication | ZhongSai,Steel Building Design Services for Fabrication & Export Projects,Steel Building Design Services for Fabrication & Export Projects,steel structure,prefab steel building,Commercial Investigation,Research,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/about/,EN,about,About ZhongSai Steel Structure | Steel Structure Manufacturing & Export,Steel Structure Manufacturing for Overseas Projects,Steel Structure Manufacturing for Overseas Projects,about ZhongSai steel structure,"steel structure company, China steel manufacturer",Navigational / Commercial Investigation,Supplier Verification,High,None,KEEP
https://zhongsai-steelstructure.com/en/contact/,EN,contact,Contact ZhongSai Steel Structure | Project Inquiry & Quote,Send Your Steel Structure Project Requirements,Send Your Steel Structure Project Requirements,contact steel structure supplier,"steel structure quotation, project inquiry",Transactional,Quotation / Purchase,High,None,KEEP
https://zhongsai-steelstructure.com/en/export-delivery/,EN,export_delivery,"Steel Structure Export from China | Packing, Loading & Delivery Support",Steel Structure Export Supply from China,Steel Structure Export Supply from China,steel structure export packing delivery,"steel packing, container loading, shipping from China",Commercial Investigation,Purchase / Shipping,High,None,KEEP
https://zhongsai-steelstructure.com/en/privacy/,EN,legal,Privacy Policy | ZhongSai Steel Structure,Privacy Policy,Privacy Policy,legal,"privacy policy, terms of service",Navigational,Other,Low,None,KEEP
https://zhongsai-steelstructure.com/en/terms/,EN,legal,Terms of Use | ZhongSai Steel Structure,Terms of Use,Terms of Use,legal,"privacy policy, terms of service",Navigational,Other,Low,None,KEEP
https://zhongsai-steelstructure.com/en/projects/,EN,projects_hub,Selected Steel Structure Projects | ZhongSai Manufacturing References,Selected Steel Structure Projects,Selected Steel Structure Projects,steel structure projects,"steel building case studies, steel structure references",Commercial Investigation,Supplier Verification,High,None,KEEP
https://zhongsai-steelstructure.com/en/projects/zhanjiang-logistics-port/,EN,project_detail,Shenzhen International Zhanjiang Comprehensive Logistics Port Project | ZhongSai Steel Structure Projects,Shenzhen International Zhanjiang Comprehensive Logistics Port Project,Shenzhen International Zhanjiang Comprehensive Logistics Port Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center/,EN,project_detail,Dongguan Huarun Land Center Commercial & Residential Building Project | ZhongSai Steel Structure Projects,Dongguan Huarun Land Center Commercial &amp; Residential Building Project,Dongguan Huarun Land Center Commercial &amp; Residential Building Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/xiegang-aviation-manufacturing/,EN,project_detail,Shanghai Baoye Xiegang General Aviation Manufacturing & Supply Chain Project | ZhongSai Steel Structure Projects,Shanghai Baoye Xiegang General Aviation Manufacturing &amp; Supply Chain Project,Shanghai Baoye Xiegang General Aviation Manufacturing &amp; Supply Chain Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base/,EN,project_detail,Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&D and Production Base | ZhongSai Steel Structure Projects,Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&amp;D and Production Base,Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&amp;D and Production Base,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center/,EN,project_detail,Shantou Luxshare Precision Global Electronic Information Industry Center Project | ZhongSai Steel Structure Projects,Shantou Luxshare Precision Global Electronic Information Industry Center Project,Shantou Luxshare Precision Global Electronic Information Industry Center Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs/,EN,project_detail,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project | ZhongSai Steel Structure Projects,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory/,EN,project_detail,Shenzhen Qianhai Shenzhen-Hong Kong Youth Dream Factory Project | ZhongSai Steel Structure Projects,Shenzhen Qianhai Shenzhen-Hong Kong Youth Dream Factory Project,Shenzhen Qianhai Shenzhen-Hong Kong Youth Dream Factory Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,EN,project_detail,CNPC Sixth Construction Cracking Furnace Project | ZhongSai Steel Structure Projects,CNPC Sixth Construction Cracking Furnace Project,CNPC Sixth Construction Cracking Furnace Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,EN,project_detail,CNPC Sixth Construction Liquid Furnace Project | ZhongSai Steel Structure Projects,CNPC Sixth Construction Liquid Furnace Project,CNPC Sixth Construction Liquid Furnace Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/yixian-biotech-manufacturing/,EN,project_detail,Guangdong Yixian Biotechnology High-End Manufacturing Plant Project | ZhongSai Steel Structure Projects,Guangdong Yixian Biotechnology High-End Manufacturing Plant Project,Guangdong Yixian Biotechnology High-End Manufacturing Plant Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge/,EN,project_detail,Shenzhen Luohu Mixc Commercial Center Skybridge Project | ZhongSai Steel Structure Projects,Shenzhen Luohu Mixc Commercial Center Skybridge Project,Shenzhen Luohu Mixc Commercial Center Skybridge Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,EN,project_detail,CNOOC PR6 Pipe Rack 4-SS2 Frame Project | ZhongSai Steel Structure Projects,CNOOC PR6 Pipe Rack 4-SS2 Frame Project,CNOOC PR6 Pipe Rack 4-SS2 Frame Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot/,EN,project_detail,Singapore LTA CR101 MRT Depot | ZhongSai Steel Structure Projects,Singapore LTA CR101 MRT Depot,Singapore LTA CR101 MRT Depot,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station/,EN,project_detail,Singapore LTA J102 MRT Station | ZhongSai Steel Structure Projects,Singapore LTA J102 MRT Station,Singapore LTA J102 MRT Station,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/singapore-j107-mrt-station/,EN,project_detail,Singapore LTA J107 MRT Station | ZhongSai Steel Structure Projects,Singapore LTA J107 MRT Station,Singapore LTA J107 MRT Station,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/macau-londoner/,EN,project_detail,Macau Londoner Project | ZhongSai Steel Structure Projects,Macau Londoner Project,Macau Londoner Project,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2/,EN,project_detail,Macau City of Dreams Phase 2 | ZhongSai Steel Structure Projects,Macau City of Dreams Phase 2,Macau City of Dreams Phase 2,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/singapore-sats-bup-centre/,EN,project_detail,Singapore Changi Airport SATS BUP Centre | ZhongSai Steel Structure Projects,Singapore Changi Airport SATS BUP Centre,Singapore Changi Airport SATS BUP Centre,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/singapore-mcc-innocentre/,EN,project_detail,Singapore MCC Innocentre | ZhongSai Steel Structure Projects,Singapore MCC Innocentre,Singapore MCC Innocentre,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect/,EN,project_detail,Singapore Changi Airport T2 Connect | ZhongSai Steel Structure Projects,Singapore Changi Airport T2 Connect,Singapore Changi Airport T2 Connect,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/projects/singapore-sentosa-waterfront-hotel/,EN,project_detail,Singapore Sentosa Waterfront Hotel | ZhongSai Steel Structure Projects,Singapore Sentosa Waterfront Hotel,Singapore Sentosa Waterfront Hotel,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/,ZH,homepage,中赛钢构｜钢结构设计、深化、制造与出口交付,让钢结构项目从图纸走向现场,让钢结构项目从图纸走向现场,steel structure manufacturer China,"steel structure supplier China, prefabricated steel structure manufacturer, steel structure export supplier",Commercial Investigation,Awareness / Research,High,None,KEEP
https://zhongsai-steelstructure.com/zh/products/,ZH,products_hub,钢结构解决方案｜按建筑应用分类｜工业厂房、仓库、农业、商业、交通、矿业｜中赛钢构,按项目应用选择钢结构解决方案,按项目应用选择钢结构解决方案,steel structure solutions,"steel building types, industrial steel structure, commercial steel building",Commercial Investigation,Research,High,None,KEEP
https://zhongsai-steelstructure.com/zh/products/custom-engineering/,ZH,product_category,海外项目钢结构按图加工与定制制造 | 中赛钢构,海外项目钢结构按图加工与定制制造,海外项目钢结构按图加工与定制制造,industrial steel building,"steel structure application, prefab steel building",Commercial Investigation,Research / Comparison,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/components/,ZH,components_hub,钢构件与围护系统｜钢梁、钢柱、桁架、檩条、彩钢板｜中赛钢构,按图纸定制加工钢构件与围护系统,按图纸定制加工钢构件与围护系统,steel structure components,"fabricated steel beams, steel columns, steel trusses",Commercial Investigation,Research,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/components/fabricated-steel-beams-columns/,ZH,component_detail,钢梁与钢柱按图加工 | 定制钢结构构件 | 中赛钢构,按项目图纸加工的钢梁与钢柱,按项目图纸加工的钢梁与钢柱,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/components/roof-wall-cladding-systems/,ZH,component_detail,钢结构屋面与墙面围护系统 | 中赛钢构,钢结构建筑屋面与墙面围护系统,钢结构建筑屋面与墙面围护系统,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/components/steel-trusses/,ZH,component_detail,钢桁架｜屋架桁架、管桁架、转换桁架按图纸定制加工｜中赛钢构,按图纸定制加工钢桁架,按图纸定制加工钢桁架,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/components/steel-purlins/,ZH,component_detail,钢檩条｜C型钢檩条与Z型钢檩条冷弯成型｜中赛钢构,C型钢与Z型钢檩条按项目规格冷弯成型,C型钢与Z型钢檩条按项目规格冷弯成型,fabricated steel beams columns,"steel beam fabrication, custom steel columns",Transactional,Quotation,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/manufacturing-quality/,ZH,manufacturing_quality,钢结构制造与质量控制｜中赛钢构,钢结构制造与质量控制,钢结构制造与质量控制,钢结构制造质量控制,"steel fabrication process, quality control, welding inspection",Commercial Investigation,Supplier Verification,High,None,KEEP
https://zhongsai-steelstructure.com/zh/steel-workshop/,ZH,product_detail,钢结构工业厂房与生产车间 | 中赛钢构,钢结构工业厂房与生产车间,钢结构工业厂房与生产车间,钢结构厂房厂家,"预制钢结构厂房, 工业厂房, 钢结构厂房供应商",Transactional,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/zh/steel-warehouse/,ZH,product_detail,钢结构仓库与物流建筑 | 中赛钢构,钢结构仓库与物流建筑,钢结构仓库与物流建筑,钢结构仓库厂家,"预制钢结构仓库, 物流仓库, 钢结构仓库供应商",Transactional,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/zh/steel-mining-factory/,ZH,product_detail,矿业与重型工业钢结构解决方案 | 中赛钢构,矿业与重型工业钢结构解决方案,矿业与重型工业钢结构解决方案,钢结构仓库厂家,"预制钢结构仓库, 物流仓库, 钢结构仓库供应商",Transactional,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/zh/services/structural-steel-detailing/,ZH,product_detail,钢结构深化设计与加工图服务 | 中赛钢构,钢结构深化设计与加工图服务,钢结构深化设计与加工图服务,钢结构仓库厂家,"预制钢结构仓库, 物流仓库, 钢结构仓库供应商",Transactional,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/zh/engineering-design/,ZH,other,钢结构建筑设计与制造衔接服务 | 中赛钢构,钢结构建筑设计与制造衔接服务,钢结构建筑设计与制造衔接服务,steel structure,prefab steel building,Commercial Investigation,Research,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/about/,ZH,about,关于中赛钢构 | 钢结构制造与出口供应商,面向海外项目的钢结构制造与出口供应,面向海外项目的钢结构制造与出口供应,about ZhongSai steel structure,"steel structure company, China steel manufacturer",Navigational / Commercial Investigation,Supplier Verification,High,None,KEEP
https://zhongsai-steelstructure.com/zh/contact/,ZH,contact,联系中赛钢构 | 项目询盘与报价需求,提交您的钢结构项目需求,提交您的钢结构项目需求,contact steel structure supplier,"steel structure quotation, project inquiry",Transactional,Quotation / Purchase,High,None,KEEP
https://zhongsai-steelstructure.com/zh/export-delivery/,ZH,export_delivery,钢结构出口交付 | 包装装柜与海外项目供应支持,钢结构制造后的出口供应与交付支持,钢结构制造后的出口供应与交付支持,钢结构出口包装运输,"steel packing, container loading, shipping from China",Commercial Investigation,Purchase / Shipping,High,None,KEEP
https://zhongsai-steelstructure.com/zh/privacy/,ZH,legal,隐私政策 | 中赛钢构,隐私政策,隐私政策,legal,"privacy policy, terms of service",Navigational,Other,Low,None,KEEP
https://zhongsai-steelstructure.com/zh/terms/,ZH,legal,使用条款 | 中赛钢构,使用条款,使用条款,legal,"privacy policy, terms of service",Navigational,Other,Low,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/,ZH,projects_hub,精选钢结构项目案例 | 中赛钢构制造参考,精选钢结构项目案例,精选钢结构项目案例,steel structure projects,"steel building case studies, steel structure references",Commercial Investigation,Supplier Verification,High,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/zhanjiang-logistics-port/,ZH,project_detail,深国际湛江综合物流港项目 | 中赛钢构项目案例,深国际湛江综合物流港项目,深国际湛江综合物流港项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/dongguan-huarun-center/,ZH,project_detail,东莞华润置地中心商业、住宅楼项目 | 中赛钢构项目案例,东莞华润置地中心商业、住宅楼项目,东莞华润置地中心商业、住宅楼项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/xiegang-aviation-manufacturing/,ZH,project_detail,上海宝冶谢岗通用航空制造及供应链项目 | 中赛钢构项目案例,上海宝冶谢岗通用航空制造及供应链项目,上海宝冶谢岗通用航空制造及供应链项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/guangzhou-high-end-equipment-base/,ZH,project_detail,广州工控大湾区现代高端装备研发生产基地 | 中赛钢构项目案例,广州工控大湾区现代高端装备研发生产基地,广州工控大湾区现代高端装备研发生产基地,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/shantou-luxshare-electronics-center/,ZH,project_detail,汕头立讯精密全球电子信息产业中心项目 | 中赛钢构项目案例,汕头立讯精密全球电子信息产业中心项目,汕头立讯精密全球电子信息产业中心项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/futian-bonded-zone-customs/,ZH,project_detail,深圳福田保税区海关基础设施升级改造工程 | 中赛钢构项目案例,深圳福田保税区海关基础设施升级改造工程,深圳福田保税区海关基础设施升级改造工程,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/qianhai-dreamfactory/,ZH,project_detail,深圳前海深港青年梦工厂项目 | 中赛钢构项目案例,深圳前海深港青年梦工厂项目,深圳前海深港青年梦工厂项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/cnpc-cracking-furnace/,ZH,project_detail,中油六建裂解炉项目 | 中赛钢构项目案例,中油六建裂解炉项目,中油六建裂解炉项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/cnpc-liquid-furnace/,ZH,project_detail,中油六建液体炉项目 | 中赛钢构项目案例,中油六建液体炉项目,中油六建液体炉项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/yixian-biotech-manufacturing/,ZH,project_detail,广东逸仙生物科技高端制造厂房项目 | 中赛钢构项目案例,广东逸仙生物科技高端制造厂房项目,广东逸仙生物科技高端制造厂房项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/luohu-mixc-skybridge/,ZH,project_detail,深圳罗湖万象城商业中心天桥项目 | 中赛钢构项目案例,深圳罗湖万象城商业中心天桥项目,深圳罗湖万象城商业中心天桥项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/cnooc-pr6-pipe-rack/,ZH,project_detail,中海油PR6管廊4-SS2框架项目 | 中赛钢构项目案例,中海油PR6管廊4-SS2框架项目,中海油PR6管廊4-SS2框架项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/singapore-cr101-depot/,ZH,project_detail,新加坡LTA CR101地铁维修站 | 中赛钢结构项目案例,新加坡LTA CR101地铁维修站,新加坡LTA CR101地铁维修站,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/singapore-j102-mrt-station/,ZH,project_detail,新加坡LTA J102地铁站 | 中赛钢结构项目案例,新加坡LTA J102地铁站,新加坡LTA J102地铁站,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/singapore-j107-mrt-station/,ZH,project_detail,新加坡LTA J107地铁站 | 中赛钢结构项目案例,新加坡LTA J107地铁站,新加坡LTA J107地铁站,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/macau-londoner/,ZH,project_detail,澳门伦敦人项目 | 中赛钢结构项目案例,澳门伦敦人项目,澳门伦敦人项目,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/macau-city-of-dreams-phase2/,ZH,project_detail,澳门新濠影汇二期 | 中赛钢结构项目案例,澳门新濠影汇二期,澳门新濠影汇二期,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/singapore-sats-bup-centre/,ZH,project_detail,新加坡樟宜机场SATS货运中心 | 中赛钢结构项目案例,新加坡樟宜机场SATS货运中心,新加坡樟宜机场SATS货运中心,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/singapore-mcc-innocentre/,ZH,project_detail,新加坡MCC Innocentre | 中赛钢结构项目案例,新加坡MCC Innocentre,新加坡MCC Innocentre,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/singapore-airport-t2-connect/,ZH,project_detail,新加坡樟宜机场T2连接 | 中赛钢结构项目案例,新加坡樟宜机场T2连接,新加坡樟宜机场T2连接,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/zh/projects/singapore-sentosa-waterfront-hotel/,ZH,project_detail,新加坡圣淘沙名胜世界酒店 | 中赛钢结构项目案例,新加坡圣淘沙名胜世界酒店,新加坡圣淘沙名胜世界酒店,steel structure project case study,"steel building reference, project example",Commercial Investigation,Supplier Verification,Medium,None,KEEP
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide/,EN,product_detail,How to Import Steel Structure from China: Complete Guide | ZhongSai,How to Import Steel Structure from China: Complete Guide,How to Import Steel Structure from China: Complete Guide,how to import steel structure from China,"预制钢结构仓库, 物流仓库, 钢结构仓库供应商",Informational,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa/,EN,product_detail,How to Import Steel Structure from China to Africa: Complete Guide | ZhongSai,How to Import Steel Structure from China to Africa: Complete Guide,How to Import Steel Structure from China to Africa: Complete Guide,how to import steel structure from China,"预制钢结构仓库, 物流仓库, 钢结构仓库供应商",Informational,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china/,EN,product_detail,Shipping Cost for Steel Structure from China: Freight Guide | ZhongSai,Shipping Cost for Steel Structure from China: Freight Guide,Shipping Cost for Steel Structure from China: Freight Guide,steel structure cost guide,"预制钢结构仓库, 物流仓库, 钢结构仓库供应商",Commercial Investigation,Comparison / Quotation,High,None,KEEP
https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide/,EN,product_detail,Steel Structure Container Loading Guide | ZhongSai,Steel Structure Container Loading Guide,Steel Structure Container Loading Guide,steel structure shipping container loading guide,"预制钢结构仓库, 物流仓库, 钢结构仓库供应商",Informational,Comparison / Quotation,High,None,KEEP
