old_url,title,language,page_type,reason_to_preserve,search_evidence,fact_cleanup_required,suggested_template,future_target,priority
https://zhongsai-steelstructure.com/en/steel-supermarket-mall,Steel Structures for Commercial & Public Buildings | ZhongSai,EN,application,"Supermarket/mall: V2 page exists but NOINDEX. Commercial intent but narrower than warehouse/workshop. Legacy preserve at cutover, rebuild properly in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/components/steel-purlins,C型Z型钢檩条供应 | 钢结构厂房墙面屋面檩条 | 中赛钢构,ZH,component,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,https://zhongsai-steelstructure.com/zh/components/,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/components/steel-trusses,钢结构桁架定制加工 | 大跨度屋架桁架制造厂家 | 中赛钢构,ZH,component,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,https://zhongsai-steelstructure.com/zh/components/,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/landing,免费获取钢结构报价 | 中国工厂直销预制钢结构建筑 - 中赛钢构,ZH,landing,"Landing page: active ad traffic UNKNOWN. Legacy preserve at cutover, review ad campaigns post-launch.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P2_GROWTH
https://zhongsai-steelstructure.com/zh/steel-car-4s-dealership,预制钢结构汽车4S店与品牌店制造商,ZH,application,"Application (steel-car-4s-dealership): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-exhibition-hall,大跨度钢结构展厅与会展中心制造商,ZH,application,"Application (steel-exhibition-hall): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-hangar,钢结构机库_飞机库直升机库厂家_中赛钢构,ZH,application,"Application (steel-hangar): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-hospital-building,预制钢结构医院建筑制造商,ZH,application,"Application (steel-hospital-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-hotel-restaurant,预制钢结构酒店与餐厅建筑制造商,ZH,application,"Application (steel-hotel-restaurant): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-mining-factory,矿业与重型工业钢结构解决方案 | 中赛钢构,ZH,application,"Mining factory: V2 page exists but NOINDEX. Old page has real content. Legacy preserve at cutover (keep URL 200 with V2 framework + fact-checked content), then make indexable in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P0_CUTOVER
https://zhongsai-steelstructure.com/zh/steel-office-building,预制钢结构办公楼制造商,ZH,application,"Application (steel-office-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-school-building,预制钢结构学校建筑制造商,ZH,application,"Application (steel-school-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-sports-arena,大跨度钢结构体育馆与运动场馆制造商,ZH,application,"Application (steel-sports-arena): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
https://zhongsai-steelstructure.com/zh/steel-supermarket-mall,商业与公共建筑钢结构解决方案 | 中赛钢构,ZH,application,"Supermarket/mall: V2 page exists but NOINDEX. Commercial intent but narrower than warehouse/workshop. Legacy preserve at cutover, rebuild properly in 30 days.",UNKNOWN (no GSC),NO,V2 BaseLayout + Header/Footer + fact-checked legacy content,,P1_30_DAYS
