priority_order,old_url,cluster,recommended_new_url,content_action,internal_links_from,notes
24,https://zhongsai-steelstructure.com/en/steel-office-building,"Application (steel-office-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-office-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
25,https://zhongsai-steelstructure.com/en/steel-school-building,"Application (steel-school-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-school-building): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
26,https://zhongsai-steelstructure.com/en/steel-sports-arena,"Application (steel-sports-arena): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days.",,LEGACY_PRESERVE,,"Application (steel-sports-arena): distinct commercial intent, no V2 target. Legacy preserve at cutover, rebuild in 30 days."
27,https://zhongsai-steelstructure.com/en/steel-supermarket-mall,"Supermarket/mall: V2 page exists but NOINDEX. Commercial intent but narrower than warehouse/workshop. Legacy preserve at cutover, rebuild properly in 30 days.",,LEGACY_PRESERVE,,"Supermarket/mall: V2 page exists but NOINDEX. Commercial intent but narrower than warehouse/workshop. Legacy preserve at cutover, rebuild properly in 30 days."
28,https://zhongsai-steelstructure.com/faq,"Unclassified MIGRATE_CONTENT: default P1, review manually.",,P1_30_DAYS,,"Unclassified MIGRATE_CONTENT: default P1, review manually."
29,https://zhongsai-steelstructure.com/solutions,Solutions hub: V2 solutions is NOINDEX. Merge to /products/ as closest intent equivalent. Build proper solutions page in 30 days.,https://zhongsai-steelstructure.com/en/products/,SAFE_MERGE,,Solutions hub: V2 solutions is NOINDEX. Merge to /products/ as closest intent equivalent. Build proper solutions page in 30 days. | V2-CODEX-01 target validated.
30,https://zhongsai-steelstructure.com/zh/blog/gangjiegou-cangku-zaojia-duoshaoqian,Blog cluster: Warehouse Cost,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,SAFE_MERGE,,Blog cluster: Warehouse Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
31,https://zhongsai-steelstructure.com/zh/blog/gangjiegou-changfang-zaojia-zhinan,Blog cluster: Workshop Cost,,SAFE_MERGE,,Blog cluster: Workshop Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days
32,https://zhongsai-steelstructure.com/zh/blog/gangjiegou-chukou-feizhou-quanliucheng,Blog cluster: Import from China,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa/,SAFE_MERGE,,Blog cluster: Import from China | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
33,https://zhongsai-steelstructure.com/zh/blog/how-much-does-steel-structure-warehouse-cost,Blog cluster: Warehouse Cost,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,SAFE_MERGE,,Blog cluster: Warehouse Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
34,https://zhongsai-steelstructure.com/zh/blog/how-to-import-steel-structure-from-china-complete-guide,Blog cluster: Import from China,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide/,SAFE_MERGE,,Blog cluster: Import from China | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
35,https://zhongsai-steelstructure.com/zh/blog/shipping-cost-steel-structure-from-china,Blog cluster: Shipping & Container,https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china/,SAFE_MERGE,,Blog cluster: Shipping & Container | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
36,https://zhongsai-steelstructure.com/zh/blog/steel-structure-container-loading-guide,Blog cluster: Shipping & Container,https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide/,SAFE_MERGE,,Blog cluster: Shipping & Container | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
37,https://zhongsai-steelstructure.com/zh/blog/steel-structure-supplier-indonesia-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
38,https://zhongsai-steelstructure.com/zh/blog/steel-structure-supplier-malaysia-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
39,https://zhongsai-steelstructure.com/zh/blog/steel-structure-supplier-mexico-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
40,https://zhongsai-steelstructure.com/zh/blog/steel-structure-supplier-philippines-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
41,https://zhongsai-steelstructure.com/zh/blog/steel-structure-supplier-saudi-arabia-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
42,https://zhongsai-steelstructure.com/zh/blog/steel-structure-supplier-thailand-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
43,https://zhongsai-steelstructure.com/zh/blog/steel-structure-supplier-uae-dubai-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
44,https://zhongsai-steelstructure.com/zh/blog/steel-warehouse-cost-complete-guide,Blog cluster: Warehouse Cost,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide/,SAFE_MERGE,,Blog cluster: Warehouse Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days | V2-CODEX-01 target validated.
45,https://zhongsai-steelstructure.com/zh/blog/steel-warehouse-supplier-nigeria-guide,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
46,https://zhongsai-steelstructure.com/zh/blog/steel-workshop-cost-factory-building-price,Blog cluster: Workshop Cost,,SAFE_MERGE,,Blog cluster: Workshop Cost | Secondary/cannibalization URL: merge to primary EN URL or rebuild ZH version in 30 days
47,https://zhongsai-steelstructure.com/zh/blog/top-10-steel-structure-manufacturers-in-china,Blog cluster: Supplier & Manufacturer,,P1_30_DAYS,,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
48,https://zhongsai-steelstructure.com/zh/components/steel-purlins,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",https://zhongsai-steelstructure.com/zh/components/,P1_30_DAYS,,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days."
49,https://zhongsai-steelstructure.com/zh/components/steel-trusses,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days.",https://zhongsai-steelstructure.com/zh/components/,P1_30_DAYS,,"MERGE REVOKED: Components Hub does not sufficiently cover steel truss/purlin supplier intent. Legacy preserve at cutover, build dedicated page in 30 days."
50,https://zhongsai-steelstructure.com/zh/faq,"Unclassified MIGRATE_CONTENT: default P1, review manually.",,P1_30_DAYS,,"Unclassified MIGRATE_CONTENT: default P1, review manually."
