category,old_url,title,language,recommended_action,priority,notes
country,https://zhongsai-steelstructure.com/en/countries/,Steel Structure by Country | ZhongSai Steel Structure Export Destinations,EN,DROP_CANDIDATE,P2_GROWTH,Country page (hub): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/en/countries/indonesia,Steel Structure Supplier Indonesia | Prefab Steel Building Manufacturer China,EN,DROP_CANDIDATE,P2_GROWTH,Country page (indonesia): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/en/countries/kenya,Kenya Steel Structure Supplier | Prefab Steel Buildings from China,EN,DROP_CANDIDATE,P2_GROWTH,Country page (kenya): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/en/countries/nigeria,Steel Structure Supplier Nigeria | Prefab Warehouse & Factory Manufacturer China,EN,DROP_CANDIDATE,P2_GROWTH,Country page (nigeria): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/en/countries/saudi-arabia,Steel Structure Manufacturer Saudi Arabia | Prefab Factory & Warehouse Supplier,EN,DROP_CANDIDATE,P2_GROWTH,Country page (saudi-arabia): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/en/countries/vietnam,Vietnam Steel Structure Supplier | Prefab Steel Buildings from China,EN,DROP_CANDIDATE,P2_GROWTH,Country page (vietnam): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
landing,https://zhongsai-steelstructure.com/en/landing,Free Steel Structure Quote | Prefab Steel Buildings from China - ZhongSai,EN,LEGACY_PRESERVE,P2_GROWTH,"Landing page: active ad traffic UNKNOWN. Legacy preserve at cutover, review ad campaigns post-launch."
application,https://zhongsai-steelstructure.com/en/steel-equipment-platform,Steel Structure Equipment Platform & Work Platform Manufacturer,EN,P2_GROWTH,P2_GROWTH,"Application (steel-equipment-platform): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/en/steel-factory-crane,Prefab Steel Structure Factory Building with Overhead Crane Manufacturer,EN,P2_GROWTH,P2_GROWTH,"Application (steel-factory-crane): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/en/steel-livestock-barn,Steel Structures for Agricultural & Special-Use Buildings | ZhongSai,EN,P2_GROWTH,P2_GROWTH,"Application (steel-livestock-barn): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/en/steel-mining-conveyor,Steel Structure Mining Conveyor Corridor & Gallery Manufacturer,EN,P2_GROWTH,P2_GROWTH,"Application (steel-mining-conveyor): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/en/steel-residential-villa,Prefab Steel Structure Residential Villa & Apartment Building Manufacturer,EN,P2_GROWTH,P2_GROWTH,"Application (steel-residential-villa): niche intent. Long-term growth, not cutover blocker."
blog,https://zhongsai-steelstructure.com/zh/blog/astm-vs-gb-steel-grades-comparison,ASTM vs GB钢材牌号完全对比：钢结构出口选材指南,ZH,P2_GROWTH,P2_GROWTH,Blog cluster: Corrosion & Materials | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/zh/blog/gangjiegou-anzhuang-zhinan-haiwai,海外钢结构安装完整指南：从基础验收到竣工验收的技术实操手册,ZH,P2_GROWTH,P2_GROWTH,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/zh/blog/gangjiegou-vs-hunningtu-chengben-duibi,钢结构vs混凝土：2026年全生命周期成本、速度与适用场景深度对比,ZH,P2_GROWTH,P2_GROWTH,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/zh/blog/steel-structure-corrosion-protection-guide,钢结构防腐保护完全指南：油漆 vs 热镀锌 vs 耐候钢,ZH,P2_GROWTH,P2_GROWTH,Blog cluster: Corrosion & Materials | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/zh/blog/steel-structure-foundation-design-guide,钢结构基础设计完全指南：独立基础、条形基础、桩基础选型与施工,ZH,P2_GROWTH,P2_GROWTH,Blog cluster: Foundation & Engineering | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/zh/blog/steel-structure-project-timeline-guide,钢结构项目时间线完全指南：从询价到竣工的全流程周期,ZH,P2_GROWTH,P2_GROWTH,Blog cluster: Project Timeline | Medium intent technical guide: long-term growth
blog,https://zhongsai-steelstructure.com/zh/blog/steel-structure-wind-load-design-guide,钢结构风荷载设计完全指南：各国规范、参数取值、设计要点,ZH,P2_GROWTH,P2_GROWTH,Blog cluster: Foundation & Engineering | Medium intent technical guide: long-term growth
country,https://zhongsai-steelstructure.com/zh/countries/,按国家分类 | 中赛钢构出口目的地,ZH,DROP_CANDIDATE,P2_GROWTH,Country page (hub): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/zh/countries/indonesia,印度尼西亚钢结构供应商 | 中国预制钢结构建筑制造商,ZH,DROP_CANDIDATE,P2_GROWTH,Country page (indonesia): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/zh/countries/kenya,肯尼亚钢结构供应商 | 中国预制钢结构建筑出口,ZH,DROP_CANDIDATE,P2_GROWTH,Country page (kenya): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/zh/countries/nigeria,尼日利亚钢结构供应商 | 中国预制仓库工厂制造商,ZH,DROP_CANDIDATE,P2_GROWTH,Country page (nigeria): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/zh/countries/saudi-arabia,沙特阿拉伯钢结构制造商 | 预制厂房仓库供应商,ZH,DROP_CANDIDATE,P2_GROWTH,Country page (saudi-arabia): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
country,https://zhongsai-steelstructure.com/zh/countries/vietnam,越南钢结构供应商 | 中国预制钢结构建筑出口,ZH,DROP_CANDIDATE,P2_GROWTH,Country page (vietnam): likely template with country name swap. Low unique value. Drop candidate unless GSC data shows traffic. Long-term: build proper country pages with real project data.
landing,https://zhongsai-steelstructure.com/zh/landing,免费获取钢结构报价 | 中国工厂直销预制钢结构建筑 - 中赛钢构,ZH,LEGACY_PRESERVE,P2_GROWTH,"Landing page: active ad traffic UNKNOWN. Legacy preserve at cutover, review ad campaigns post-launch."
application,https://zhongsai-steelstructure.com/zh/steel-equipment-platform,钢结构设备平台与工作平台制造商,ZH,P2_GROWTH,P2_GROWTH,"Application (steel-equipment-platform): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/zh/steel-factory-crane,预制钢结构厂房（带行车）制造商,ZH,P2_GROWTH,P2_GROWTH,"Application (steel-factory-crane): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/zh/steel-livestock-barn,农业与特种用途钢结构建筑解决方案 | 中赛钢构,ZH,P2_GROWTH,P2_GROWTH,"Application (steel-livestock-barn): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/zh/steel-mining-conveyor,钢结构矿山输送廊道制造商,ZH,P2_GROWTH,P2_GROWTH,"Application (steel-mining-conveyor): niche intent. Long-term growth, not cutover blocker."
application,https://zhongsai-steelstructure.com/zh/steel-residential-villa,预制钢结构住宅别墅与公寓建筑制造商,ZH,P2_GROWTH,P2_GROWTH,"Application (steel-residential-villa): niche intent. Long-term growth, not cutover blocker."
