old_path,old_url,language,old_title,old_h1,page_type,migration_action,new_path,new_url,reason,confidence,priority,launch_blocker,search_evidence,commercial_intent,business_relevance,content_quality,fact_risk,final_priority,final_action,legacy_preserve,gsc_supported,review_notes
/blog/steel-structure-building-installation-guide-overseas,https://zhongsai-steelstructure.com/blog/steel-structure-building-installation-guide-overseas,OTHER,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-building-installation-guide-overseas); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
/blog/steel-structure-vs-concrete-building-cost-comparison,https://zhongsai-steelstructure.com/blog/steel-structure-vs-concrete-building-cost-comparison,OTHER,Steel Structure vs Concrete Building: Cost Comparison and Which is Better,Steel Structure vs Concrete Building: Cost Comparison and Which is Better,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-vs-concrete-building-cost-comparison); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,STRONG,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
/blog/top-10-steel-structure-manufacturers-in-china,https://zhongsai-steelstructure.com/blog/top-10-steel-structure-manufacturers-in-china,OTHER,Top 10 Steel Structure Manufacturers in China: How to Choose the Right One,Top 10 Steel Structure Manufacturers in China: How to Choose the Right One,blog,MIGRATE_CONTENT,,,Blog article (top-10-steel-structure-manufacturers-in-china); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/blog/zhongguo-gangjiegou-changjia-paiming,https://zhongsai-steelstructure.com/blog/zhongguo-gangjiegou-changjia-paiming,OTHER,中国钢结构厂家排名前十：如何选择靠谱的供应商,中国钢结构厂家排名前十：如何选择靠谱的供应商,blog,MIGRATE_CONTENT,,,Blog article (zhongguo-gangjiegou-changjia-paiming); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P1,YES,UNKNOWN,LOW,MEDIUM,USABLE,OK,P2_GROWTH,DROP_CANDIDATE,NO,NO,"Blog cluster: Other Blog | Low intent/other: drop candidate, review before 410"
/contact,https://zhongsai-steelstructure.com/contact,OTHER,联系我们 | 免费获取钢结构报价 - 中赛钢构,联系中赛钢构 | 钢结构出口询价,contact,301_ONE_TO_ONE,/en/contact/,https://zhongsai-steelstructure.com/en/contact/,Path changed but same search intent; V2 has equivalent page,HIGH,,NO,UNKNOWN,LOW,MEDIUM,USABLE,OK,N/A,301_ONE_TO_ONE,NO,NO,
/en,https://zhongsai-steelstructure.com/en/,EN,"ZhongSai Steel Structure | Design, Detailing, Fabrication & Global Export Delivery",From Drawings to SiteYour Steel Structure Project,homepage,KEEP,/en/,https://zhongsai-steelstructure.com/en/,Path and search intent identical to V2 page,HIGH,,NO,UNKNOWN,HIGH,HIGH,USABLE,OK,N/A,KEEP,NO,NO,
/en/404,https://zhongsai-steelstructure.com/en/404,EN,Page Not Found | 404 - ZhongSai Steel Structure,Page Not Found,utility,IGNORE_NON_PAGE,,,"404 error page, not an SEO page",HIGH,,NO,UNKNOWN,MEDIUM,MEDIUM,USABLE,OK,N/A,IGNORE_NON_PAGE,NO,NO,
/en/about,https://zhongsai-steelstructure.com/en/about,EN,About ZhongSai | Steel Structure Manufacturer & Export Supplier,About ZhongSai Steel Structure,about,KEEP,/en/about/,https://zhongsai-steelstructure.com/en/about/,Path and search intent identical to V2 page,HIGH,,NO,UNKNOWN,HIGH,HIGH,USABLE,OK,N/A,KEEP,NO,NO,
/en/blog,https://zhongsai-steelstructure.com/en/blog/,EN,"Steel Structure Blog | Industry Insights, Guides and Cost Analysis - ZhongSai",Steel Structure Insights & Buying Guides,blog,MIGRATE_CONTENT,,,Blog hub; V2 has no blog system. High SEO traffic asset.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P2_GROWTH,DROP_CANDIDATE,NO,NO,"Blog cluster: Other Blog | Low intent/other: drop candidate, review before 410"
/en/blog/astm-vs-gb-steel-grades-comparison,https://zhongsai-steelstructure.com/en/blog/astm-vs-gb-steel-grades-comparison,EN,ASTM vs GB Steel Grades: Complete Comparison for Steel Structures,ASTM vs GB Steel Grades: Complete Comparison for Steel Structures,blog,MIGRATE_CONTENT,,,Blog article (astm-vs-gb-steel-grades-comparison); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,MEDIUM,MEDIUM,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Corrosion & Materials | Medium intent technical guide: long-term growth
/en/blog/how-much-does-steel-structure-warehouse-cost,https://zhongsai-steelstructure.com/en/blog/how-much-does-steel-structure-warehouse-cost,EN,How Much Does a Steel Structure Warehouse Cost? Complete Price Guide 2026,How Much Does a Steel Structure Warehouse Cost? Complete Price Guide 2026,blog,GONE_410_CANDIDATE,,,Already returns 404 on old site; no live content to migrate,HIGH,,NO,UNKNOWN,HIGH,HIGH,USABLE,OK,N/A,GONE_410_CANDIDATE,NO,NO,
/en/blog/how-to-buy-steel-buildings-from-china,https://zhongsai-steelstructure.com/en/blog/how-to-buy-steel-buildings-from-china,EN,How to Buy Steel Buildings from China: Complete Buyer Guide 2026,How to Buy Steel Buildings from China: Complete Buyer Guide,blog,MIGRATE_CONTENT,,,Blog article (how-to-buy-steel-buildings-from-china); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P1,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P2_GROWTH,DROP_CANDIDATE,NO,NO,"Blog cluster: Other Blog | Low intent/other: drop candidate, review before 410"
/en/blog/how-to-choose-steel-structure-manufacturer-china,https://zhongsai-steelstructure.com/en/blog/how-to-choose-steel-structure-manufacturer-china,EN,How to Choose a Steel Structure Manufacturer in China: 2026 Guide,How to Choose a Steel Structure Manufacturer in China,blog,MIGRATE_CONTENT,,,Blog article (how-to-choose-steel-structure-manufacturer-china); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P2_GROWTH,DROP_CANDIDATE,NO,NO,"Blog cluster: Other Blog | Low intent/other: drop candidate, review before 410"
/en/blog/how-to-import-steel-structure-from-china-complete-guide,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-complete-guide,EN,How to Import Steel Structure from China: Complete 2026 Guide,How to Import Steel Structure from China: Complete Guide,blog,MIGRATE_CONTENT,,,Blog article (how-to-import-steel-structure-from-china-complete-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P0_CUTOVER,LEGACY_PRESERVED_200,IMPLEMENTED,NO,"Blog cluster: Import from China | PRIMARY URL for cluster: legacy preserve at cutover | P0 implemented in V2-08B: HTTP 200, indexable"
/en/blog/how-to-import-steel-structure-from-china-to-africa,https://zhongsai-steelstructure.com/en/blog/how-to-import-steel-structure-from-china-to-africa,EN,How to Import Steel Structure from China to Africa: Complete Guide 2026,How to Import Steel Structure from China to Africa: Complete Guide 2026,blog,MIGRATE_CONTENT,,,Blog article (how-to-import-steel-structure-from-china-to-africa); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P0_CUTOVER,LEGACY_PRESERVED_200,IMPLEMENTED,NO,"Blog cluster: Import from China | PRIMARY URL for cluster: legacy preserve at cutover | P0 implemented in V2-08B: HTTP 200, indexable"
/en/blog/prefab-steel-building-installation-guide,https://zhongsai-steelstructure.com/en/blog/prefab-steel-building-installation-guide,EN,Prefab Steel Building Installation Guide: Step-by-Step Process,Prefab Steel Building Installation Guide: Step-by-Step,blog,MIGRATE_CONTENT,,,Blog article (prefab-steel-building-installation-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,MEDIUM,HIGH,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
/en/blog/prefab-steel-building-roof-systems-comparison,https://zhongsai-steelstructure.com/en/blog/prefab-steel-building-roof-systems-comparison,EN,Prefab Steel Building Roof Systems: Complete Comparison Guide,Prefab Steel Building Roof Systems: Complete Comparison,blog,MIGRATE_CONTENT,,,Blog article (prefab-steel-building-roof-systems-comparison); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P1,YES,UNKNOWN,MEDIUM,HIGH,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Roof & Cladding | Medium intent technical guide: long-term growth
/en/blog/shipping-cost-steel-structure-from-china,https://zhongsai-steelstructure.com/en/blog/shipping-cost-steel-structure-from-china,EN,Shipping Cost for Steel Structure from China: 2026 Freight Guide,Shipping Cost for Steel Structure from China: 2026 Freight Guide,blog,MIGRATE_CONTENT,,,Blog article (shipping-cost-steel-structure-from-china); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P0_CUTOVER,LEGACY_PRESERVED_200,IMPLEMENTED,NO,"Blog cluster: Shipping & Container | PRIMARY URL for cluster: legacy preserve at cutover | P0 implemented in V2-08B: HTTP 200, indexable"
/en/blog/steel-structure-building-installation-guide-overseas,https://zhongsai-steelstructure.com/en/blog/steel-structure-building-installation-guide-overseas,EN,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,Steel Structure Building Installation Guide: Step-by-Step for Overseas Projects,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-building-installation-guide-overseas); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Installation Guide | Medium intent technical guide: long-term growth
/en/blog/steel-structure-container-loading-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-container-loading-guide,EN,Steel Structure Container Loading: Maximize Space & Save Freight Cost,Steel Structure Container Loading: Complete Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-container-loading-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P0_CUTOVER,LEGACY_PRESERVED_200,IMPLEMENTED,NO,"Blog cluster: Shipping & Container | PRIMARY URL for cluster: legacy preserve at cutover | P0 implemented in V2-08B: HTTP 200, indexable"
/en/blog/steel-structure-corrosion-protection-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-corrosion-protection-guide,EN,Steel Structure Corrosion Protection: Paint vs Galvanizing Complete Guide,Steel Structure Corrosion Protection: Paint vs Galvanizing,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-corrosion-protection-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,MEDIUM,MEDIUM,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Corrosion & Materials | Medium intent technical guide: long-term growth
/en/blog/steel-structure-cost-per-square-meter,https://zhongsai-steelstructure.com/en/blog/steel-structure-cost-per-square-meter,EN,Steel Structure Cost Per Square Meter: 2026 Global Price Guide,Steel Structure Cost Per Square Meter: 2026 Global Price Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-cost-per-square-meter); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P2_GROWTH,DROP_CANDIDATE,NO,NO,"Blog cluster: Other Blog | Low intent/other: drop candidate, review before 410"
/en/blog/steel-structure-design-standards-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-design-standards-guide,EN,"Steel Structure Design Standards: GB, ASTM, EN, AS Complete Guide",Steel Structure Design Standards: Complete International Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-design-standards-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,MEDIUM,MEDIUM,USABLE,OK,P2_GROWTH,DROP_CANDIDATE,NO,NO,"Blog cluster: Other Blog | Low intent/other: drop candidate, review before 410"
/en/blog/steel-structure-foundation-design-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-foundation-design-guide,EN,Steel Structure Foundation Design: Complete Guide for Industrial Buildings,Steel Structure Foundation Design: Complete Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-foundation-design-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,MEDIUM,MEDIUM,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Foundation & Engineering | Medium intent technical guide: long-term growth
/en/blog/steel-structure-project-timeline-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-project-timeline-guide,EN,Steel Structure Project Timeline: From Order to Installation Complete Guide,Steel Structure Project Timeline: From Order to Installation,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-project-timeline-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Project Timeline | Medium intent technical guide: long-term growth
/en/blog/steel-structure-supplier-indonesia-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-indonesia-guide,EN,Steel Structure Supplier Indonesia: Complete Sourcing Guide 2026,Steel Structure Supplier Indonesia: Complete Sourcing Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-supplier-indonesia-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-structure-supplier-malaysia-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-malaysia-guide,EN,Steel Structure Supplier Malaysia: Complete 2026 Buyer Guide,Steel Structure Supplier Malaysia: Complete Buyer Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-supplier-malaysia-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-structure-supplier-mexico-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-mexico-guide,EN,Steel Structure Supplier Mexico: Complete 2026 Buyer Guide,Steel Structure Supplier Mexico: Complete Buyer Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-supplier-mexico-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-structure-supplier-philippines-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-philippines-guide,EN,Steel Structure Supplier Philippines: Complete 2026 Buyer Guide,Steel Structure Supplier Philippines: Complete Buyer Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-supplier-philippines-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-structure-supplier-saudi-arabia-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-saudi-arabia-guide,EN,Steel Structure Supplier Saudi Arabia: Complete Sourcing Guide 2026,Steel Structure Supplier Saudi Arabia: Complete Sourcing Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-supplier-saudi-arabia-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-structure-supplier-thailand-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-thailand-guide,EN,Steel Structure Supplier Thailand: Complete 2026 Buyer Guide,Steel Structure Supplier Thailand: Complete Buyer Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-supplier-thailand-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-structure-supplier-uae-dubai-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-supplier-uae-dubai-guide,EN,Steel Structure Supplier UAE/Dubai: Complete 2026 Buyer Guide,Steel Structure Supplier UAE/Dubai: Complete Buyer Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-supplier-uae-dubai-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-structure-vs-concrete-building-cost-comparison,https://zhongsai-steelstructure.com/en/blog/steel-structure-vs-concrete-building-cost-comparison,EN,Steel Structure vs Concrete Building: Cost Comparison and Which is Better,Steel Structure vs Concrete Building: Cost Comparison and Which is Better,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-vs-concrete-building-cost-comparison); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,STRONG,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
/en/blog/steel-structure-vs-concrete-comparison,https://zhongsai-steelstructure.com/en/blog/steel-structure-vs-concrete-comparison,EN,"Steel Structure vs Concrete: Cost, Speed, Durability Complete Comparison",Steel Structure vs Concrete: Complete Comparison Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-vs-concrete-comparison); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,MEDIUM,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Steel vs Concrete | Medium intent technical guide: long-term growth
/en/blog/steel-structure-wind-load-design-guide,https://zhongsai-steelstructure.com/en/blog/steel-structure-wind-load-design-guide,EN,Steel Structure Wind Load Design: Global Wind Zone Complete Guide,Steel Structure Wind Load Design: Global Wind Zone Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-structure-wind-load-design-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,MEDIUM,MEDIUM,USABLE,OK,P2_GROWTH,P2_GROWTH,NO,NO,Blog cluster: Foundation & Engineering | Medium intent technical guide: long-term growth
/en/blog/steel-warehouse-cost-complete-guide,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-cost-complete-guide,EN,Steel Warehouse Cost: Complete 2026 Price Guide from China,Steel Warehouse Cost: Complete 2026 Price Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-warehouse-cost-complete-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P0_CUTOVER,LEGACY_PRESERVED_200,IMPLEMENTED,NO,"Blog cluster: Warehouse Cost | PRIMARY URL for cluster: legacy preserve at cutover | P0 implemented in V2-08B: HTTP 200, indexable"
/en/blog/steel-warehouse-supplier-nigeria-guide,https://zhongsai-steelstructure.com/en/blog/steel-warehouse-supplier-nigeria-guide,EN,Steel Warehouse Supplier Nigeria: Complete Sourcing Guide 2026,Steel Warehouse Supplier Nigeria: Complete Sourcing Guide,blog,MIGRATE_CONTENT,,,Blog article (steel-warehouse-supplier-nigeria-guide); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/blog/steel-workshop-cost-factory-building-price,https://zhongsai-steelstructure.com/en/blog/steel-workshop-cost-factory-building-price,EN,Steel Workshop Cost: Factory Building Price Guide 2026,Steel Workshop Cost: Factory Building Price Guide 2026,blog,GONE_410_CANDIDATE,,,Already returns 404 on old site; no live content to migrate,HIGH,,NO,UNKNOWN,HIGH,HIGH,USABLE,OK,N/A,GONE_410_CANDIDATE,NO,NO,
/en/blog/top-10-steel-structure-manufacturers-in-china,https://zhongsai-steelstructure.com/en/blog/top-10-steel-structure-manufacturers-in-china,EN,Top 10 Steel Structure Manufacturers in China: How to Choose the Right One,Top 10 Steel Structure Manufacturers in China: How to Choose the Right One,blog,MIGRATE_CONTENT,,,Blog article (top-10-steel-structure-manufacturers-in-china); V2 has no blog system. Evaluate for migration or new landing page.,HIGH,P0,YES,UNKNOWN,HIGH,HIGH,USABLE,OK,P1_30_DAYS,P1_30_DAYS,NO,NO,Blog cluster: Supplier & Manufacturer | High intent but likely template/weak content: rebuild in 30 days
/en/components,https://zhongsai-steelstructure.com/en/components,EN,Steel Structure Components & Materials | Beams Columns Trusses Purlins Cladding | ZhongSai,Fabricated Structural Steel Components & Materials,component,KEEP,/en/components/,https://zhongsai-steelstructure.com/en/components/,Path and search intent identical to V2 page,HIGH,,NO,UNKNOWN,HIGH,HIGH,USABLE,OK,N/A,KEEP,NO,NO,
