url,file,classification,language,h1_count,title,description_length
/en/steel-supermarket-mall/,en\steel-supermarket-mall\index.html,NOINDEX,en,1,Commercial & Public,76
/en/steel-warehouse/,en\steel-warehouse\index.html,INDEXABLE,en,1,Steel Structure Warehouse | Prefabricated Warehouse Building | ZhongSai,287
/en/steel-workshop/,en\steel-workshop\index.html,INDEXABLE,en,1,Steel Structure Workshop | Industrial Factory Building | ZhongSai,261
/en/terms/,en\terms\index.html,INDEXABLE,en,1,Terms of Use | ZhongSai Steel Structure,149
/,index.html,NOINDEX,en,0,ZhongSai Steel Structure,0
/zh/about/,zh\about\index.html,INDEXABLE,zh-CN,1,关于中赛钢构 | 钢结构制造与出口供应商,61
/zh/components/fabricated-steel-beams-columns/,zh\components\fabricated-steel-beams-columns\index.html,INDEXABLE,zh-CN,1,钢梁与钢柱按图加工 | 定制钢结构构件 | 中赛钢构,67
/zh/components/,zh\components\index.html,INDEXABLE,zh-CN,1,钢构件与围护系统｜钢梁、钢柱、桁架、檩条、彩钢板｜中赛钢构,68
/zh/components/roof-wall-cladding-systems/,zh\components\roof-wall-cladding-systems\index.html,INDEXABLE,zh-CN,1,钢结构屋面与墙面围护系统 | 中赛钢构,70
/zh/components/steel-purlins/,zh\components\steel-purlins\index.html,INDEXABLE,zh-CN,1,钢檩条｜C型钢檩条与Z型钢檩条冷弯成型｜中赛钢构,51
/zh/components/steel-trusses/,zh\components\steel-trusses\index.html,INDEXABLE,zh-CN,1,钢桁架｜屋架桁架、管桁架、转换桁架按图纸定制加工｜中赛钢构,55
/zh/contact/,zh\contact\index.html,INDEXABLE,zh-CN,1,联系中赛钢构 | 项目询盘与报价需求,49
/zh/engineering-design/,zh\engineering-design\index.html,INDEXABLE,zh-CN,1,钢结构建筑设计与制造衔接服务 | 中赛钢构,67
/zh/export-delivery/,zh\export-delivery\index.html,INDEXABLE,zh-CN,1,钢结构出口交付 | 包装装柜与海外项目供应支持,49
/zh/faq/,zh\faq\index.html,NOINDEX,zh-CN,1,常见问题,18
/zh/,zh\index.html,INDEXABLE,zh-CN,1,中赛钢构｜钢结构设计、深化、制造与全球出口交付,67
/zh/manufacturing-quality/,zh\manufacturing-quality\index.html,INDEXABLE,zh-CN,1,钢结构制造与质量控制｜中赛钢构,68
/zh/privacy/,zh\privacy\index.html,INDEXABLE,zh-CN,1,隐私政策 | 中赛钢构,35
/zh/products/custom-engineering/,zh\products\custom-engineering\index.html,INDEXABLE,zh-CN,1,海外项目钢结构按图加工与定制制造 | 中赛钢构,70
/zh/products/,zh\products\index.html,INDEXABLE,zh-CN,1,钢结构解决方案｜按建筑应用分类｜工业厂房、仓库、农业、商业、交通、矿业｜中赛钢构,70
/zh/projects/cnooc-pr6-pipe-rack/,zh\projects\cnooc-pr6-pipe-rack\index.html,INDEXABLE,zh-CN,1,中海油PR6管廊4-SS2框架项目 | 中赛钢构项目案例,49
/zh/projects/cnpc-cracking-furnace/,zh\projects\cnpc-cracking-furnace\index.html,INDEXABLE,zh-CN,1,中油六建裂解炉项目 | 中赛钢构项目案例,39
/zh/projects/cnpc-liquid-furnace/,zh\projects\cnpc-liquid-furnace\index.html,INDEXABLE,zh-CN,1,中油六建液体炉项目 | 中赛钢构项目案例,39
/zh/projects/dongguan-huarun-center/,zh\projects\dongguan-huarun-center\index.html,INDEXABLE,zh-CN,1,东莞华润置地中心商业、住宅楼项目 | 中赛钢构项目案例,48
/zh/projects/futian-bonded-zone-customs/,zh\projects\futian-bonded-zone-customs\index.html,INDEXABLE,zh-CN,1,深圳福田保税区海关基础设施升级改造工程 | 中赛钢构项目案例,51
/zh/projects/guangzhou-high-end-equipment-base/,zh\projects\guangzhou-high-end-equipment-base\index.html,INDEXABLE,zh-CN,1,广州工控大湾区现代高端装备研发生产基地 | 中赛钢构项目案例,51
/zh/projects/,zh\projects\index.html,INDEXABLE,zh-CN,1,精选钢结构项目案例 | 中赛钢构制造参考,51
/zh/projects/luohu-mixc-skybridge/,zh\projects\luohu-mixc-skybridge\index.html,INDEXABLE,zh-CN,1,深圳罗湖万象城商业中心天桥项目 | 中赛钢构项目案例,47
/zh/projects/qianhai-dreamfactory/,zh\projects\qianhai-dreamfactory\index.html,INDEXABLE,zh-CN,1,深圳前海深港青年梦工厂项目 | 中赛钢构项目案例,45
/zh/projects/shantou-luxshare-electronics-center/,zh\projects\shantou-luxshare-electronics-center\index.html,INDEXABLE,zh-CN,1,汕头立讯精密全球电子信息产业中心项目 | 中赛钢构项目案例,50
/zh/projects/xiegang-aviation-manufacturing/,zh\projects\xiegang-aviation-manufacturing\index.html,INDEXABLE,zh-CN,1,上海宝冶谢岗通用航空制造及供应链项目 | 中赛钢构项目案例,50
/zh/projects/yixian-biotech-manufacturing/,zh\projects\yixian-biotech-manufacturing\index.html,INDEXABLE,zh-CN,1,广东逸仙生物科技高端制造厂房项目 | 中赛钢构项目案例,46
/zh/projects/zhanjiang-logistics-port/,zh\projects\zhanjiang-logistics-port\index.html,INDEXABLE,zh-CN,1,深国际湛江综合物流港项目 | 中赛钢构项目案例,44
/zh/services/structural-steel-detailing/,zh\services\structural-steel-detailing\index.html,INDEXABLE,zh-CN,1,钢结构深化设计与加工图服务 | 中赛钢构,65
/zh/solutions/,zh\solutions\index.html,NOINDEX,zh-CN,1,解决方案,18
/zh/steel-mining-factory/,zh\steel-mining-factory\index.html,INDEXABLE,zh-CN,1,矿业与重型工业钢结构解决方案 | 中赛钢构,81
/zh/steel-supermarket-mall/,zh\steel-supermarket-mall\index.html,NOINDEX,zh-CN,1,商业与公共建筑,18
/zh/steel-warehouse/,zh\steel-warehouse\index.html,INDEXABLE,zh-CN,1,钢结构仓库与物流建筑 | 中赛钢构,72
/zh/steel-workshop/,zh\steel-workshop\index.html,INDEXABLE,zh-CN,1,钢结构工业厂房与生产车间 | 中赛钢构,69
/zh/terms/,zh\terms\index.html,INDEXABLE,zh-CN,1,使用条款 | 中赛钢构,35
